ProductKey,ProductName,Total,Custo
247,Contoso Home Theater System 5.1 Channel M1520 Black,3623750.67,1673479.15
249,Contoso Home Theater System 2.1 Channel E1220 Black,3951978.81,2041882.5
264,Contoso Home Theater System 4.1 Channel M1420 Silver,9507249.6,4859649.76
266,Contoso Home Theater System 2.1 Channel E1200 White,6099061.8,3151697.0
281,Contoso Home Theater System 7.1 Channel M1700 Brown,19413759.75,6447775.14
283,Contoso Home Theater System 5.1 Channel M1500 Brown,8890527.36,4098689.28
298,SV Car Video TFT7 M7001 Black,6303253.92,3222953.32
300,SV Car Video AM/FM E1001 Black,4407173.52,2273082.35
315,SV Car Video AM/FM E1000 Silver,3729349.55,1926015.18
317,SV Car Video TFT7 M7002 Silver,6921853.4,3538883.76
332,SV Car Video AM/FM E1001 Brown,4468629.3,2306577.35
334,SV Car Video LCD9.2W X9280 Brown,1784463.75,601077.84
347,Fabrikam Laptop14.1 M4100 White,13095998.32,6045244.84
349,Fabrikam Laptop10.1 M0100 White,7991689.49,4089330.18
364,Adventure Works Laptop12 M1200 Black,1581085.665,810246.0
366,Adventure Works Laptop15.4W M1548 Black,15659105.1,7234777.9
381,Adventure Works Laptop15 M1501 Red,15140542.71,6988748.48
383,Adventure Works Laptop16 M1601 Red,13170254.93,6073342.08
398,WWI Laptop12 M0120 White,8665867.458,4440148.08
400,WWI Laptop15.4W M0156 White,16072707.8,7407325.0
415,Proseware Laptop8.9 E089 White,9927805.14,5105497.8
417,Adventure Works Desktop PC2.30 MD230 Silver,9883188.52,4528837.86
432,Adventure Works Desktop PC1.80 ED182 Brown,25815220.923,13088335.3
434,Adventure Works Desktop PC2.30 MD230 White,9503051.14,4355848.98
449,WWI Desktop PC3.0 M0300 Black,15787751.39,7228630.09
451,WWI Desktop PC2.30 M2300 Silver,9988245.54,4584150.98
464,Proseware LCD22W M2001 Black,5433826.51,1808308.86
466,Proseware LCD20W M230 Black,2793186.18,1292109.3
481,Proseware LCD19 E1000 White,2598631.41,1207512.72
483,Proseware LCD17 E200 White,1998464.49,1031657.27
5,Contoso 2G MP3 Player E200 Red,416627.5698,215292.0
6,Contoso 2G MP3 Player E200 Black,412367.0634,212729.0
23,Contoso 8GB MP3 Player new model M820 White,1198754.62,554641.62
24,Contoso 16GB Mp5 Player M1600 Blue,694596.528,320284.12
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,6317358.7215,2103255.1
41,Contoso 16GB New Generation MP5 Player M1650 Silver,686035.6,316229.16
55,WWI 4GB Video Recording Pen X200 Pink,1955370.08,652950.06
56,WWI 4GB Video Recording Pen X200 Yellow,2069936.88,689922.45
73,NT Wireless Bluetooth Stereo Headphones E102 White,927971.0755,431694.9
74,NT Bluetooth Active Headphones E202 Black,465826.383,215594.75
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,999116.3878,332326.72
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,928478.5973,309966.22
105,WWI Wireless Bluetooth Stereo Headphones M270 Pink,826015.1,382216.64
106,WWI Stereo Bluetooth Headphones New Generation M370 Black,398584.329,184091.6
123,"Adventure Works 19"" Portable LCD HDTV M110 Black",5801306.0031,2678980.56
124,"Adventure Works 19"" Portable LCD HDTV M110 White",6207423.0984,2865682.56
138,"Adventure Works 32"" LCD HDTV M130 Black",4880317.3917,2250094.98
141,"Adventure Works 15.6"" LCD TV M130W Silver",2876265.1213,1470976.92
142,"Adventure Works 15.6"" LCD TV M130W Black",2749486.3474,1409495.04
155,"Adventure Works 26"" 720p LCD HDTV M140 White",10418553.4435,4804563.72
156,"Adventure Works 26"" 720p LCD HDTV M140 Brown",9710111.2661,4488164.04
173,SV 8xDVD E120 Black,1471590.181,757478.24
174,SV 22xDVD M600 Black,1083802.464,360804.32
191,SV 8xDVD E140 Silver,1372458.12,709510.25
192,Litware Home Theater System 4.1 Channel M410 Black,6497580.62,3004993.14
205,Litware Home Theater System 5.1 Channel M514 Black,6225886.2,2874976.02
206,Litware Home Theater System 5.1 Channel M515 Black,12848452.44,5925814.02
223,Litware Home Theater System 5.1 Channel M516 Silver,8901447.57,4115847.08
224,Litware Home Theater System 4.1 Channel M410 Brown,6457058.27,2985710.94
241,Contoso Home Theater System 2.1 Channel M1210 Black,6846016.24,3501028.29
242,Contoso Home Theater System 7.1 Channel M1700 Black,19903696.54,6614484.78
255,Contoso Home Theater System 7.1 Channel M1700 Silver,18633911.17,6198005.22
256,Contoso Home Theater System 4.1 Channel M1400 Silver,8960641.94,4579516.24
259,Contoso Home Theater System 4.1 Channel M1410 Silver,7011812.5,3585564.21
273,Contoso Home Theater System 5.1 Channel M1520 White,3867986.61,1790864.32
274,Contoso Home Theater System 5.1 Channel M1530 White,8336310.99,3851271.61
291,Contoso Home Theater System 2.1 Channel M1230 Brown,2598908.4,1332316.86
292,SV Car Video LCD7W M7080 Black,11024560.0,5078693.84
306,SV Car Video LCD7 M7002 Black,6656291.37,3077837.22
309,SV Car Video LCD7W M7081 Silver,10424299.62,4808543.85
323,SV Car Video LCD7 M7003 Silver,7729262.19,3565865.66
324,SV Car Video LCD7W M7080 Brown,10673390.0,4932918.22
341,Fabrikam Laptop16W M6080 Black,20484454.17,9449217.81
342,Fabrikam Laptop16 M6000 Black,12202642.31,5629025.1
356,Fabrikam Laptop14.1W M4180 Red,9678096.921,4465047.61
359,Fabrikam Laptop12 M2002 Red,7612065.28,3890113.08
373,Adventure Works Laptop8.9 E0890 White,10434438.48,5368758.6
374,Adventure Works Laptop19W X1980 Silver,24083654.85,8025295.86
391,WWI Laptop15 M0150 Black,14681376.6,6775633.76
392,WWI Laptop12 M0120 Black,7745244.1695,3962981.52
406,Proseware Laptop12 M210 Black,7985464.875,4082077.92
409,Proseware Laptop8.9 E089 Black,10004522.72,5141563.2
423,Adventure Works Desktop PC2.30 MD230 Black,10143106.6,4657477.68
424,Adventure Works Desktop PC1.60 ED160 Black,10133118.549,5186448.92
441,WWI Desktop PC1.80 E1800 Brown,8516604.118,4366658.55
442,WWI Desktop PC1.80 E1801 Silver,9813291.401,5022537.6
456,WWI Desktop PC2.30 M2300 White,9201039.38,4218097.54
459,WWI Desktop PC1.80 E1801 White,10278285.917,5263062.4
2,Contoso 512MB MP3 Player E51 Blue,244161.9885,125978.6
9,Contoso 4G MP3 Player E400 Black,1112001.0356,573038.62
20,Contoso 8GB MP3 Player new model M820 Black,1204322.32,555750.78
27,Contoso 16GB Mp5 Player M1600 White,731256.189,337934.68
34,Contoso 4GB Portable MP3 Player M450 Black,1001070.3375,512779.44
45,Contoso 16GB New Generation MP5 Player M1650 Pink,653706.4,302252.77
52,WWI 2GB Pulse Smart pen M100 Silver,4050707.07,1867964.25
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,2077849.8,1064986.23
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,897835.4595,417560.85
77,NT Bluetooth Active Headphones E202 Silver,653755.1625,303542.75
84,NT Wireless Bluetooth Stereo Headphones M402 Red,747894.2031,345493.72
95,WWI Stereo Bluetooth Headphones E1000 Silver,1213124.512,625317.64
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,832781.7,385706.72
109,WWI Stereo Bluetooth Headphones New Generation M370 Orange,415088.388,192409.36
120,"Adventure Works 13"" Color TV E25 Black",2288749.255,1182232.59
127,"Adventure Works 19"" Color Digital TV E35 White",2758200.054,1425425.67
134,"Adventure Works 20"" LCD HDTV M120 Black",6339526.224,2925063.68
145,"Adventure Works 52"" LCD HDTV X590 Silver",6639817.104,2229102.4
152,"Adventure Works 40"" LCD HDTV M690 Brown",12359237.1,4112092.4
159,"Adventure Works 37"" 1080p LCD HDTV M150W White",4290268.9972,1981920.3
170,SV 16xDVD M330 Black,2326134.12,1073333.43
177,SV 8xDVD E130 Black,1136994.008,587336.46
184,SV 16xDVD E340 Silver,1476585.99,683951.66
188,SV 16xDVD M350 Silver,389433.646,179074.56
195,Litware Home Theater System 5.1 Channel M510 Black,6283012.23,2900005.65
202,Litware Home Theater System 5.1 Channel M513 Black,13373999.86,6155128.1
209,Litware Home Theater System 5.1 Channel M511 Silver,9874032.06,4562519.36
213,Litware Home Theater System 2.1 Channel E212 Silver,5839466.862,3013964.8
220,Litware Home Theater System 7.1 Channel X711 Silver,2063793.55,694810.13
227,Litware Home Theater System 5.1 Channel M510 Brown,5628228.93,2603217.15
234,Litware Home Theater System 5.1 Channel M513 Brown,13608680.15,6270144.65
238,Litware Home Theater System 5.1 Channel M515 Brown,12145316.38,5596645.74
245,Contoso Home Theater System 5.1 Channel M1510 Black,5103316.47,2363383.7
252,Contoso Home Theater System 2.1 Channel M1230 Black,2633288.4,1349386.08
263,Contoso Home Theater System 5.1 Channel M1540 Silver,4887378.1,2256085.98
270,Contoso Home Theater System 5.1 Channel M1500 White,9150767.34,4222383.84
277,Contoso Home Theater System 4.1 Channel M1420 White,9344832.0,4775955.52
288,Contoso Home Theater System 2.1 Channel E1220 Brown,3868617.71,1999979.52
295,SV Car Video TFT6.2W E6280 Black,5489545.41,2833989.76
302,SV Car Video LCD9.2W X9280 Black,1759938.3,592472.1
313,SV Car Video TFT6.2W E6282 Silver,5173445.66,2672447.18
320,SV Car Video LCD7W M7082 Silver,12577309.71,5799420.48
327,SV Car Video TFT6.2W E6280 Brown,5760309.33,2976229.76
338,Fabrikam Laptop19W M9800 Black,25022218.76,8313250.75
345,Fabrikam Laptop15 M5000 White,15208716.18,7007713.44
352,Fabrikam Laptop8.9 E0800 Silver,538713.6,283881.0
363,Adventure Works Laptop15 M1500 Black,14615922.24,6738025.28
370,Adventure Works Laptop12 M1201 White,7935271.6185,4058258.64
377,Adventure Works Laptop16 M1601 Silver,13143611.41,6061497.3
388,Adventure Works Laptop12 M1201 Blue,8244051.8625,4216793.52
395,WWI Laptop8.9 E0089 Black,9095331.54,4672546.8
402,WWI Laptop19W X0196 Blue,21065649.18,7018206.66
413,Proseware Laptop16 M610 White,12726521.72,5873909.04
420,Adventure Works Desktop PC1.80 ED182 Silver,25047404.517,12705535.58
427,Adventure Works Desktop PC3.0 MS300 Black,21301970.62,9744853.76
438,WWI Desktop PC2.33 X2330 Silver,2092158.64,703348.8
445,WWI Desktop PC2.30 M2300 Black,9561264.57,4395211.88
452,WWI Desktop PC1.60 E1600 Red,8178409.648,4185961.92
1,Contoso 512MB MP3 Player E51 Silver,255135.6807,131751.24
3,Contoso 1G MP3 Player E100 White,285765.216,147348.8
10,Contoso 4G MP3 Player E400 Green,1077010.6683,554843.52
12,Contoso 4GB Flash MP3 Player E401 Blue,1306148.8064,607168.56
35,Contoso 4GB Portable MP3 Player M450 White,958424.4005,491010.04
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,6036268.0441,2005205.64
42,Contoso 16GB New Generation MP5 Player M1650 White,718550.4,332659.42
44,Contoso 16GB New Generation MP5 Player M1650 blue,728886.0,335113.29
67,NT Bluetooth Stereo Headphones E52 Black,510269.9371,263480.3
69,NT Bluetooth Stereo Headphones E52 Pink,505413.7564,261161.6
71,NT Wireless Bluetooth Stereo Headphones E102 Black,896768.0925,417472.65
76,NT Bluetooth Active Headphones E202 Red,635625.309,295585.55
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,682507.1875,317572.2
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,445266.0,205600.68
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,820982.7,380101.44
110,WWI Stereo Bluetooth Headphones New Generation M370 Blue,421279.0725,194733.44
112,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,1676820.4245,561421.74
135,"Adventure Works 20"" LCD HDTV M120 White",6488919.879,2994102.65
137,"Adventure Works 32"" LCD HDTV M130 Silver",4665916.6798,2156973.33
144,"Adventure Works 15.6"" LCD TV M130W Brown",2818616.043,1441765.38
146,"Adventure Works 52"" LCD HDTV X590 Black",6840206.413,2288673.24
169,SV 16xDVD M320 Black,2567852.21,1183320.0
171,SV 16xDVD E340 Black,1480506.39,685545.21
176,SV 16xDVD M360 Black,2744340.669,1265011.36
178,SV 8xDVD E140 Black,1301924.58,671721.3
201,Litware Home Theater System 5.1 Channel M512 Black,7403828.97,3424943.2
203,Litware Home Theater System 7.1 Channel M710 Black,9100202.51,3038191.44
210,Litware Home Theater System 2.1 Channel E210 Silver,5943955.55,3069836.72
212,Litware Home Theater System 2.1 Channel E211 Silver,5269759.714,2723929.6
235,Litware Home Theater System 7.1 Channel M710 Brown,9429718.1,3145138.32
237,Litware Home Theater System 5.1 Channel M514 Brown,6042682.05,2792338.02
244,Contoso Home Theater System 5.1 Channel M1500 Black,8990986.29,4150179.36
246,Contoso Home Theater System 4.1 Channel M1410 Black,6918478.49,3538096.62
269,Contoso Home Theater System 4.1 Channel M1400 White,8849913.37,4526552.16
271,Contoso Home Theater System 5.1 Channel M1510 White,5890161.48,2720252.39
276,Contoso Home Theater System 5.1 Channel M1540 White,4981328.5,2304010.17
278,Contoso Home Theater System 2.1 Channel M1230 White,2706224.4,1387929.48
301,SV Car Video TFT7 M7002 Black,6701035.22,3426336.88
303,SV Car Video LCD9.2W X9281 Black,7365922.08,2457685.12
305,SV Car Video LCD7 M7001 Black,5697398.28,2631560.9
310,SV Car Video TFT7 M7000 Silver,6657444.3,3407186.44
312,SV Car Video TFT6.2W E6281 Silver,4989101.46,2575371.15
335,SV Car Video LCD9.2W X9281 Brown,7493526.04,2495114.72
337,SV Car Video LCD7 M7001 Brown,5904766.98,2728998.1
344,Fabrikam Laptop12 M2000 White,7765685.52,3970288.2
346,Fabrikam Laptop15.4 M5400 White,14684266.35,6782259.0
369,Adventure Works Laptop15 M1501 White,14862627.3,6855672.32
371,Adventure Works Laptop16 M1601 White,12792249.99,5903658.72
378,Adventure Works Laptop15.4W M1548 Silver,15876772.38,7325408.7
380,Adventure Works Laptop19W X1980 Red,23689681.14,7898333.76
403,WWI Laptop15 M0150 Blue,14248206.3,6572483.68
405,Proseware Laptop15 M510 Black,15449962.05,7136932.32
410,Proseware Laptop19W X910 White,5305154.97,1771444.08
412,Proseware Laptop12 M210 White,7776063.9855,3983091.24
435,Adventure Works Desktop PC1.60 ED160 White,9783741.1605,5006153.62
437,Adventure Works Desktop PC1.80 ED182 White,25298914.205,12823280.9
444,WWI Desktop PC2.33 X2330 Black,2253672.89,756328.32
446,WWI Desktop PC1.60 E1600 Black,7899198.5195,4045001.94
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,1061417.718,491240.96
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,1032208.401,476881.92
26,Contoso 16GB Mp5 Player M1600 Green,650832.421,301346.54
28,Contoso 16GB Mp5 Player M1600 Red,672255.704,310171.82
51,WWI 2GB Pulse Smart pen M100 Blue,3999047.988,1847091.6
53,WWI 4GB Video Recording Pen X200 Black,1923499.76,643731.48
60,WWI 1GB Digital Voice Recorder Pen E100 White,2391991.68,1226670.72
62,WWI 2GB Spy Video Recorder Pen M300 White,622880.73,287510.96
85,NT Wireless Bluetooth Stereo Headphones M402 Green,750956.8968,347240.96
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,770956.8966,357080.68
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,921684.0503,306786.06
94,WWI Stereo Bluetooth Headphones E1000 Black,1355714.604,699535.24
96,WWI Stereo Bluetooth Headphones E1000 White,1259135.122,648441.92
117,"Adventure Works 20"" CRT TV E15 Black",3426291.2416,1770321.42
119,"Adventure Works 13"" Color TV E25 Silver",2285186.7519,1180886.85
121,"Adventure Works 13"" Color TV E25 White",2299916.7243,1188716.61
126,"Adventure Works 19"" Color Digital TV E35 Black",2771932.038,1432298.01
128,"Adventure Works 19"" Color Digital TV E35 Brown",2875716.354,1485010.32
151,"Adventure Works 40"" LCD HDTV M690 White",11457854.1204,3804294.0
153,"Adventure Works 26"" 720p LCD HDTV M140 Silver",10062381.9793,4644634.92
160,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",4011674.5299,1852422.7
162,"Adventure Works 52"" LCD HDTV X790W Black",11012419.456,3676356.57
185,SV 22xDVD X680 Silver,500747.0,167858.02
187,SV 22xDVD M600 Silver,1046587.413,348150.56
194,Litware Home Theater System 2.1 Channel E210 Black,6012019.91,3102458.88
196,Litware Home Theater System 2.1 Channel E211 Black,5538032.217,2859052.8
219,Litware Home Theater System 7.1 Channel M710 Silver,9654293.03,3223495.44
221,Litware Home Theater System 5.1 Channel M514 Silver,5709362.51,2638355.88
226,Litware Home Theater System 2.1 Channel E210 Brown,6036209.01,3116330.92
228,Litware Home Theater System 2.1 Channel E211 Brown,5238324.461,2703702.4
251,Contoso Home Theater System 4.1 Channel M1420 Black,8956776.0,4575529.84
253,Contoso Home Theater System 2.1 Channel E1200 Silver,5730116.73,2958707.96
260,Contoso Home Theater System 5.1 Channel M1520 Silver,3815943.33,1767948.49
262,Contoso Home Theater System 2.1 Channel E1220 Silver,3954346.91,2042389.8
285,Contoso Home Theater System 4.1 Channel M1410 Brown,7235677.26,3703142.94
287,Contoso Home Theater System 5.1 Channel M1530 Brown,8518598.13,3932190.7
294,SV Car Video TFT7 M7000 Black,6443210.8,3291332.04
296,SV Car Video TFT6.2W E6281 Black,4939578.07,2548168.85
319,SV Car Video LCD9.2W X9281 Silver,7824180.54,2609418.96
321,SV Car Video LCD7 M7001 Silver,5651193.52,2610530.2
326,SV Car Video TFT7 M7000 Brown,6316168.69,3231728.0
328,SV Car Video TFT6.2W E6281 Brown,5007783.13,2584218.5
330,SV Car Video TFT7 M7001 Brown,6546968.4,3344731.74
351,Fabrikam Laptop8.9W E0880 Silver,2556136.8,1319352.6
353,Fabrikam Laptop10.1 M0101 Silver,3465447.15,1770779.52
355,Fabrikam Laptop8.9 M0801 Silver,1356403.885,695505.96
360,Fabrikam Laptop13.3 M3000 Red,7968527.8,4078614.48
362,Adventure Works Laptop19 X1900 Black,5232852.63,1746482.04
385,Adventure Works Laptop8.9 E0890 Red,9879632.12,5077742.4
387,Adventure Works Laptop15 M1501 Blue,14394758.64,6642557.6
394,WWI Laptop15.4W M0156 Black,16337416.56,7543619.78
396,WWI Laptop19W X0196 White,21319902.45,7112029.5
419,Adventure Works Desktop PC1.80 ED180 Silver,19010186.28,9650316.48
421,Adventure Works Desktop PC3.0 MS300 Silver,22115920.12,10110647.04
428,Adventure Works Desktop PC2.33 XD233 Brown,3239648.01,1085149.0
430,Adventure Works Desktop PC1.60 ED160 Brown,9513804.658,4872102.0
453,WWI Desktop PC1.80 E1800 Silver,8525158.697,4373105.1
14,Contoso 4GB Flash MP3 Player E401 Silver,1303185.3144,606096.96
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,1172167.0545,540284.16
31,Contoso 32GB Video MP3 Player M3200 Orange,1902616.2,634519.9
33,Contoso 32GB Video MP3 Player M3200 Black,1957976.7,650826.47
46,WWI 1GB Pulse Smart pen E50 White,3054349.544,1576857.7
48,WWI 1GB Pulse Smart pen E50 Silver,2933041.4935,1513862.9
50,WWI 2GB Pulse Smart pen M100 Black,3868174.7145,1783554.15
63,WWI 2GB Spy Video Recorder Pen M300 Blue,752167.22,347277.28
65,WWI 2GB Spy Video Recorder Pen M300 Purple,572278.56,264287.0
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,686569.081,319549.1
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,653479.47,303827.15
97,WWI Stereo Bluetooth Headphones E1000 Green,1237657.438,638340.08
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,440818.8,203614.2
114,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,1645751.6673,550488.18
116,"Adventure Works 20"" CRT TV E15 Silver",3410043.5974,1759921.02
131,"Adventure Works 20"" Analog CRT TV E45 White",3567026.0,1841578.2
133,"Adventure Works 20"" LCD HDTV M120 Silver",6331529.8665,2923937.17
148,"Adventure Works 52"" LCD HDTV X590 Brown",5854209.813,1962955.26
150,"Adventure Works 40"" LCD HDTV M690 Black",11501591.3631,3819212.8
163,"Adventure Works 52"" LCD HDTV X790W White",11607488.284,3878928.09
165,"Adventure Works 42"" LCD HDTV M55 Black",15985524.8839,8164728.5
167,SV 8xDVD E100 Black,1389055.56,717531.28
180,SV 8xDVD E100 Silver,1384437.39,715209.4
182,SV 16xDVD M320 Silver,2562742.35,1181842.56
197,Litware Home Theater System 2.1 Channel E212 Black,5871823.073,3031548.3
199,Litware Home Theater System 4.1 Channel M412 Black,3870838.72,1791324.36
214,Litware Home Theater System 4.1 Channel M411 Silver,1987847.39,916730.88
216,Litware Home Theater System 4.1 Channel M413 Silver,4013277.84,1855149.56
231,Litware Home Theater System 4.1 Channel M412 Brown,4240734.24,1951983.6
233,Litware Home Theater System 5.1 Channel M512 Brown,7515067.83,3472516.32
248,Contoso Home Theater System 5.1 Channel M1530 Black,8121692.88,3745214.39
250,Contoso Home Theater System 5.1 Channel M1540 Black,4797379.33,2207188.71
265,Contoso Home Theater System 2.1 Channel M1230 Silver,2670195.6,1370860.26
267,Contoso Home Theater System 2.1 Channel M1210 White,7141339.8,3649804.8
280,Contoso Home Theater System 2.1 Channel M1210 Brown,6931043.0,3549502.26
282,Contoso Home Theater System 4.1 Channel M1400 Brown,8475424.79,4329292.24
284,Contoso Home Theater System 5.1 Channel M1510 Brown,5606233.41,2596349.02
297,SV Car Video TFT6.2W E6282 Black,5642482.13,2911482.2
299,SV Car Video AM/FM E1000 Black,3981434.79,2055072.3
314,SV Car Video TFT7 M7001 Silver,7086417.51,3623735.08
316,SV Car Video AM/FM E1001 Silver,4169762.19,2153840.15
331,SV Car Video AM/FM E1000 Brown,3933708.62,2030924.82
333,SV Car Video TFT7 M7002 Brown,6694549.95,3422921.44
348,Fabrikam Laptop15.4W M5480 White,16897889.34,7796688.86
350,Fabrikam Laptop12W M2080 Silver,5546818.2,2847676.58
365,Adventure Works Laptop16 M1600 Black,5498592.38,2535884.76
367,Adventure Works Laptop8.9 E0890 Black,10087812.46,5183944.2
382,Adventure Works Laptop12 M1201 Red,8117134.5735,4154902.44
384,Adventure Works Laptop15.4W M1548 Red,16138722.02,7438348.62
397,WWI Laptop15 M0150 White,14831668.59,6852457.92
399,WWI Laptop16 M0160 White,9717606.95,4500740.94
401,WWI Laptop8.9 E0089 White,10211679.42,5247931.2
414,Proseware Laptop15.4W M518 White,13132115.02,6063549.1
416,Adventure Works Desktop PC2.33 XD233 Silver,3382255.74,1135874.9
431,Adventure Works Desktop PC1.80 ED180 Brown,18900028.71,9584659.11
433,Adventure Works Desktop PC2.33 XD233 White,3762869.25,1259800.2
448,WWI Desktop PC1.80 E1801 Black,9866248.48,5052259.2
450,WWI Desktop PC2.33 X2330 Brown,2470731.5,828794.56
473,Proseware CRT17 E104 Black,1193787.71,615948.16
474,Proseware CRT15 E10 Black,994250.18,513289.04
491,Adventure Works LCD22 M200 Black,5200906.09,1729523.97
492,Adventure Works LCD22W M200 Black,5193338.29,1725294.93
506,Adventure Works LCD22W M200 White,5223750.7,1732044.03
509,Adventure Works LCD19 E108 White,2430039.7,1252698.12
523,WWI LCD19 E107 Black,2515979.23,1297558.83
524,WWI LCD19W M100 Black,2940943.15,1359679.44
541,Proseware Projector 720p LCD56 Black,13749623.58,6338153.92
542,Proseware Projector 720p DLP56 Black,20245853.88,9337305.0
556,Proseware Projector 480p DLP12 White,10617372.7,5439835.2
559,Proseware Screen 106in M1609 White,2575059.2,1188813.57
573,Proseware Screen 85in E1010 Silver,2807765.25,1449645.85
574,Proseware Screen 80in E1010 Silver,2215551.44,1143297.18
591,Contoso Projector 480p M480 White,4983749.9,2548886.0
592,Contoso Projector 480p M481 White,10675161.89,5459932.8
606,Contoso Screen 113in M251 Silver,2816977.67,1302125.0
609,Contoso Screen 85in E085 Silver,2625587.68,1355105.27
610,Contoso Screen 80in E080 Silver,2239704.75,1156467.27
623,WWI Projector 1080p DLP86 White,12985428.75,4345186.56
624,WWI Projector 720p LCD56 White,14172665.37,6548054.24
641,WWI Screen 106in M1609 Silver,2568184.31,1185581.53
642,Proseware Photo Ink Jet Printer M100 Black,3327938.37,1534496.32
656,"Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 Black",653642.84,301974.96
659,Proseware Laser Fax Printer M250 Black,470873.1,217691.12
660,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black",3349823.13,1547365.44
673,Proseware Laser Jet Printer E100 Grey,1495658.81,773416.28
674,Proseware Laser Jet Color Printer X300 Grey,1819905.12,606560.75
691,Proseware Slim-Design Fax Machine with Answering System X180 Grey,4844291.76,1614154.36
692,Proseware High-Performance Business-Class Laser Fax X200 Grey,4879402.48,1626472.98
709,Proseware Mobile Receipt and Document Scanner M200 White,2474154.72,1140249.18
710,Proseware Scan Jet Digital Flat Bed Scanner M300 White,2611961.66,1204439.08
723,Proseware Photo Ink jet Printer E290 White,1844012.1,951340.0
724,Proseware Office Jet All-in-One Printer M500 White,3591920.16,1658265.12
741,Proseware Professional Quality Plain-Paper Fax and Copier X100 Green,682955.86,228823.92
742,Proseware Photo Inkjet Printer E290 Green,2095211.58,1080664.0
759,Contoso 90W AC/DC Power Adapter E300 Black,243419.855,125794.68
760,Contoso Reserve Pen - Tablet Pen E200 Black,84058.165,43249.0
773,Contoso USB Wave Multi-media Keyboard E280 Blue,233782.311,120011.78
774,Contoso USB Optical Mouse E200 Blue,186285.82,95708.5
777,Contoso Reserve Pen -Tablet Pen E200 Blue,277385.203,143345.62
791,Contoso USB 2.0 Dock Station docking station M800 White,625152.19,288502.5
792,Contoso Enhanced Capacity Battery M800 White,596004.543,275267.65
809,Contoso Dual USB Power Adapter - power adapter E300 Grey,811375.677,418800.6
810,Contoso Car power adapter M90 Grey,404925.3495,186792.9
